Pincode,Region_ID,Status,Message,MOQ,MOQ_Charges,Free_Shipping,Free_Shipping_amount,COD,COD_Charges,Farm_pick_up,Farm_pick_up_delivery_charges,Same_day_delivery_till_2pm,Same_day_delivery_till_2pm_charges,Next_day_delivery_Standard_9am_9pm,Next_day_delivery_Standard_9am_9pm_charges,Next_day_delivery_8am_2pm,Next_day_delivery_8am_2pm_charges,Next_day_delivery_2pm_8pm,Next_day_delivery_2pm_8pm_charges,Standard_delivery,Standard_delivery_charges
110042,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110012,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110004,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110029,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,yes,50,yes,50,no,50,no,50,yes,50
110081,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110035,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110021,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,yes,50,yes,50,no,50,no,50,yes,50
110074,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,yes,50,yes,50,no,50,no,50,yes,50
110044,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110075,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110018,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110065,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110068,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,yes,50,yes,50,no,50,no,50,yes,50
110005,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110001,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110002,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110032,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110003,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110060,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110095,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110069,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110092,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110011,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110089,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110053,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110051,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110007,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110037,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,yes,50,yes,50,no,50,no,50,yes,50
110093,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110094,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110054,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110059,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110083,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110033,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110040,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110006,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110099,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110110,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110009,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110008,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110088,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110084,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110019,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110020,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110014,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110096,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110049,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110039,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110024,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110043,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110013,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110025,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110022,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,yes,50,yes,50,no,50,no,50,yes,50
110082,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110028,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110046,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110066,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110076,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110067,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110077,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110065,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110061,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110026,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110071,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110064,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110023,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110056,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110057,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,yes,50,yes,50,no,50,no,50,yes,50
110038,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110063,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110072,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110010,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110058,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110041,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110086,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
122003,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110030,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,yes,50,yes,50,no,50,no,50,yes,50
122001,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
122006,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110045,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
122008,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
122007,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110087,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
122011,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110027,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
122015,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
122016,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110038,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
122021,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
122050,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
122102,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
122022,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110015,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
122002,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
201301,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,95,no,0,yes,0,no,95,yes,95,no,95,no,95,yes,95
122017,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
122009,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
122413,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
122004,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
201304,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,95,no,0,yes,0,no,95,yes,95,no,95,no,95,yes,95
121006,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,95,no,0,yes,0,no,95,yes,95,no,95,no,95,yes,95
201309,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,95,no,0,yes,0,no,95,yes,95,no,95,no,95,yes,95
201307,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,95,no,0,yes,0,no,95,yes,95,no,95,no,95,yes,95
122101,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
121001,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,95,no,0,yes,0,no,95,yes,95,no,95,no,95,yes,95
121003,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,95,no,0,yes,0,no,95,yes,95,no,95,no,95,yes,95
121012,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,95,no,0,yes,0,no,95,yes,95,no,95,no,95,yes,95
201303,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,95,no,0,yes,0,no,95,yes,95,no,95,no,95,yes,95
110091,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110055,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
122051,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
201305,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,95,no,0,yes,0,no,95,yes,95,no,95,no,95,yes,95
201310,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,95,no,0,yes,0,no,95,yes,95,no,95,no,95,yes,95
110036,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
201008,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,95,no,0,yes,0,no,95,yes,95,no,95,no,95,yes,95
122503,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
